time_key,music_key,grammy_key,popularity,has_grammy_match
,397,,23,False
,398,,18,False
,399,,1,False
,400,,54,False
,401,,22,False
,402,,35,False
,403,,18,False
,404,,26,False
,405,,36,False
,406,,11,False
,407,,48,False
,408,,44,False
,409,,17,False
,410,,16,False
,411,,20,False
,412,,2,False
,413,,0,False
,414,,0,False
,415,,70,False
,416,,68,False
,417,,28,False
,418,,5,False
,419,,47,False
,420,,30,False
,421,,48,False
,422,,40,False
,423,,21,False
,424,,27,False
,425,,19,False
,426,,42,False
,427,,41,False
,428,,1,False
,429,,23,False
,430,,35,False
,431,,0,False
,432,,0,False
,433,,46,False
,434,,16,False
,435,,20,False
,436,,20,False
,437,,53,False
,438,,24,False
,439,,16,False
,440,,36,False
,441,,0,False
,442,,0,False
,443,,38,False
,444,,88,False
,445,,0,False
,446,,0,False
,447,,29,False
,448,,52,False
,449,,66,False
,450,,40,False
,451,,24,False
,452,,37,False
,453,,36,False
,454,,38,False
,455,,24,False
,456,,13,False
,457,,19,False
,458,,23,False
,459,,52,False
,460,,50,False
,461,,19,False
,462,,38,False
,463,,84,False
,464,,0,False
,465,,53,False
,466,,38,False
,467,,48,False
,468,,32,False
,469,,40,False
,470,,48,False
,471,,17,False
,472,,29,False
,473,,0,False
,474,,6,False
,475,,22,False
,476,,59,False
,477,,20,False
,478,,30,False
,479,,69,False
,480,,19,False
,481,,28,False
,482,,49,False
,483,,44,False
,484,,31,False
,485,,33,False
,486,,70,False
,487,,29,False
,488,,19,False
,489,,38,False
,490,,47,False
,491,,35,False
,492,,0,False
,493,,58,False
,494,,0,False
,495,,25,False
,496,,12,False
,497,,34,False
,498,,21,False
,499,,0,False
,500,,38,False
,501,,22,False
,502,,10,False
,503,,20,False
,504,,30,False
,505,,45,False
,506,,83,False
,507,,18,False
,508,,28,False
,509,,20,False
,510,,0,False
,511,,20,False
,512,,12,False
,513,,47,False
,514,,53,False
,515,,57,False
,516,,8,False
,517,,0,False
,518,,14,False
,519,,3,False
,520,,56,False
,521,,45,False
,522,,26,False
,523,,23,False
,524,,59,False
,525,,23,False
,526,,39,False
,527,,44,False
,528,,71,False
,529,,62,False
,530,,50,False
,531,,51,False
,532,,43,False
,533,,52,False
,534,,26,False
,535,,42,False
,536,,72,False
,537,,12,False
,538,,41,False
,539,,0,False
,540,,0,False
,541,,45,False
,542,,70,False
,543,,57,False
,544,,0,False
,545,,65,False
,546,,0,False
,547,,21,False
,548,,39,False
,549,,55,False
,550,,23,False
,551,,33,False
,552,,18,False
,553,,46,False
,554,,39,False
,555,,13,False
,556,,42,False
,557,,16,False
,558,,39,False
,559,,47,False
,560,,36,False
,561,,54,False
,562,,65,False
,563,,35,False
,564,,63,False
,565,,1,False
,566,,4,False
,567,,17,False
,568,,42,False
,569,,29,False
,570,,33,False
,571,,15,False
,572,,0,False
,573,,42,False
,574,,55,False
,575,,7,False
,576,,20,False
,577,,0,False
,578,,0,False
,579,,27,False
,580,,15,False
,581,,58,False
,582,,40,False
,583,,55,False
,584,,26,False
,585,,7,False
,586,,0,False
,587,,46,False
,588,,21,False
,589,,54,False
,590,,21,False
,591,,41,False
,592,,3,False
,593,,39,False
,594,,0,False
,595,,53,False
,596,,16,False
,597,,45,False
,598,,68,False
,599,,56,False
,600,,0,False
,601,,28,False
,602,,43,False
,603,,0,False
,604,,64,False
,605,,50,False
,606,,57,False
,607,,0,False
,608,,18,False
,609,,36,False
,610,,21,False
,611,,40,False
,612,,42,False
,613,,31,False
,614,,0,False
,615,,21,False
,616,,49,False
,617,,0,False
,618,,40,False
,619,,0,False
,620,,32,False
,621,,43,False
,622,,39,False
,623,,22,False
,624,,20,False
,625,,50,False
,626,,28,False
,627,,0,False
,628,,0,False
,629,,50,False
,630,,8,False
,631,,29,False
,632,,20,False
,633,,0,False
,634,,52,False
,635,,63,False
,636,,21,False
,637,,49,False
,638,,0,False
,639,,23,False
,640,,26,False
,641,,39,False
,642,,56,False
,643,,36,False
,644,,33,False
,645,,21,False
,646,,23,False
,647,,0,False
,648,,28,False
,649,,29,False
,650,,36,False
,651,,66,False
,652,,20,False
,653,,51,False
,654,,1,False
,655,,39,False
,656,,40,False
,657,,0,False
,658,,74,False
,659,,23,False
,660,,54,False
,661,,31,False
,662,,41,False
,663,,9,False
,664,,50,False
,665,,16,False
,666,,25,False
,667,,67,False
,668,,48,False
,669,,63,False
,670,,45,False
,671,,56,False
,672,,62,False
,673,,82,False
,674,,0,False
,675,,38,False
,676,,45,False
,677,,51,False
,678,,52,False
,679,,53,False
,680,,46,False
,681,,0,False
,682,,23,False
,683,,75,False
,684,,44,False
,685,,1,False
,686,,19,False
,687,,18,False
,688,,73,False
,689,,51,False
,690,,75,False
,691,,0,False
,692,,57,False
,693,,11,False
,694,,29,False
,695,,4,False
,696,,65,False
,697,,42,False
,698,,48,False
,699,,29,False
,700,,38,False
,701,,1,False
,702,,55,False
,703,,56,False
,704,,0,False
,705,,37,False
,706,,56,False
,707,,0,False
,708,,16,False
,709,,22,False
,710,,57,False
,711,,27,False
,712,,23,False
,713,,24,False
,714,,21,False
,715,,55,False
,716,,0,False
,717,,0,False
,718,,16,False
,719,,0,False
,720,,38,False
,721,,30,False
,722,,26,False
,723,,6,False
,724,,50,False
,725,,9,False
,726,,31,False
,727,,57,False
,728,,29,False
,729,,11,False
,730,,21,False
,731,,47,False
,732,,24,False
,733,,46,False
,734,,34,False
,735,,41,False
,736,,0,False
,737,,42,False
,738,,10,False
,739,,10,False
,740,,1,False
,741,,54,False
,742,,67,False
,743,,46,False
,744,,48,False
,745,,22,False
,746,,16,False
,747,,41,False
,748,,54,False
,749,,21,False
,750,,31,False
,751,,60,False
,752,,35,False
,753,,10,False
,754,,50,False
,755,,6,False
,756,,46,False
,757,,0,False
,758,,9,False
,759,,22,False
,760,,0,False
,761,,39,False
,762,,19,False
,763,,0,False
,764,,53,False
,765,,43,False
,766,,40,False
,767,,45,False
,768,,53,False
,769,,42,False
,770,,3,False
,771,,77,False
,772,,21,False
,773,,60,False
,774,,22,False
,775,,23,False
,776,,35,False
,777,,63,False
,778,,39,False
,779,,13,False
,780,,21,False
,781,,15,False
,782,,20,False
,783,,79,False
,784,,29,False
,785,,0,False
,786,,21,False
,787,,70,False
,788,,16,False
,789,,17,False
,790,,17,False
,791,,39,False
,792,,27,False
,793,,57,False
,794,,20,False
,795,,18,False
,796,,0,False
,797,,37,False
,798,,28,False
,799,,53,False
,800,,68,False
,801,,39,False
,802,,36,False
,803,,29,False
,804,,64,False
,805,,71,False
,806,,36,False
,807,,0,False
,808,,47,False
,809,,17,False
,810,,20,False
,811,,0,False
,812,,1,False
,813,,27,False
,814,,44,False
,815,,23,False
,816,,27,False
,817,,22,False
,818,,0,False
,819,,61,False
,820,,17,False
,821,,46,False
,822,,0,False
,823,,50,False
,824,,42,False
,825,,19,False
,826,,28,False
,827,,11,False
,828,,20,False
,829,,19,False
,830,,40,False
,831,,0,False
,832,,59,False
,833,,46,False
,834,,61,False
,835,,23,False
,836,,41,False
,837,,53,False
,838,,55,False
,839,,34,False
,840,,53,False
,841,,32,False
,842,,0,False
,843,,30,False
,844,,45,False
,845,,41,False
,846,,0,False
,847,,52,False
,848,,16,False
,849,,5,False
,850,,70,False
,851,,38,False
,852,,27,False
,853,,45,False
,854,,8,False
,855,,67,False
,856,,5,False
,857,,0,False
,858,,22,False
,859,,20,False
,860,,63,False
,861,,37,False
,862,,30,False
,863,,35,False
,864,,0,False
,865,,0,False
,866,,41,False
,867,,18,False
,868,,20,False
,869,,24,False
,870,,20,False
,871,,74,False
,872,,21,False
,873,,80,False
,874,,49,False
,875,,59,False
,876,,0,False
,877,,0,False
,878,,52,False
,879,,0,False
,880,,50,False
,881,,24,False
,882,,59,False
,883,,46,False
,884,,0,False
,885,,7,False
,886,,56,False
,887,,17,False
,888,,34,False
,889,,42,False
,890,,16,False
,891,,41,False
,892,,24,False
,893,,38,False
,894,,7,False
,895,,16,False
,896,,35,False
,897,,0,False
,898,,0,False
,899,,23,False
,900,,1,False
,901,,42,False
,902,,43,False
,903,,31,False
,904,,20,False
,905,,28,False
,906,,20,False
,907,,0,False
,908,,36,False
,909,,34,False
,910,,61,False
,911,,42,False
,912,,11,False
,913,,31,False
,914,,68,False
,915,,35,False
,916,,26,False
,917,,0,False
,918,,52,False
,919,,24,False
,920,,58,False
,921,,85,False
,922,,18,False
,923,,50,False
,924,,24,False
,925,,21,False
,926,,24,False
,927,,37,False
,928,,47,False
,929,,43,False
,930,,39,False
,931,,43,False
,932,,62,False
,933,,22,False
,934,,0,False
,935,,61,False
,936,,24,False
,937,,40,False
,938,,56,False
,939,,10,False
,940,,62,False
,941,,22,False
,942,,47,False
,943,,21,False
,944,,43,False
,945,,21,False
,946,,12,False
,947,,39,False
,948,,0,False
,949,,27,False
,950,,0,False
,951,,22,False
,952,,63,False
,953,,50,False
,954,,40,False
,955,,50,False
,956,,0,False
,957,,47,False
,958,,7,False
,959,,40,False
,960,,43,False
,961,,7,False
,962,,20,False
,963,,33,False
,964,,45,False
,965,,19,False
,966,,23,False
,967,,27,False
,968,,61,False
,969,,29,False
,970,,32,False
,971,,3,False
,972,,56,False
,973,,44,False
,974,,39,False
,975,,26,False
,976,,44,False
,977,,40,False
,978,,22,False
,979,,11,False
,980,,23,False
,981,,46,False
,982,,0,False
,983,,11,False
,984,,26,False
,985,,11,False
,986,,1,False
,987,,59,False
