grammy_key,grammy_title,grammy_category,grammy_nominee,grammy_artist,grammy_workers,grammy_img
33,51st Annual GRAMMY Awards  (2008),best short form music video,pork and beans,weezer,"mathew cullen, video director; bernard rahill, video producer",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/weezer/weezer_1_1_1595613286.jpg?itok=ckz1fln6
34,45th Annual GRAMMY Awards  (2002),best contemporary folk album,this side,nickel creek,"alison krauss, producer; gary paczosa, engineer/mixer",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/nickel%2bcreek/nickel%2520creek_1_1_1581555342.jpg?itok=5q7ippsl
35,23rd Annual GRAMMY Awards  (1980),record of the year,sailing,christopher cross,"michael omartian, producer",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/christopher%2bcross/christopher%2520cross_1_1_1581554585.jpg?itok=sdiluxbw
36,42nd Annual GRAMMY Awards  (1999),best short form music video,freak on a leash,korn,"jonathan dayton, valerie faris, todd mcfarlane and graham morris, video directors; terry fitzgerald and bart lipton, video producers",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/korn/korn_1_1_1595602668.jpg?itok=chmnttsn
37,50th Annual GRAMMY Awards  (2007),best latin pop album,el tren de los momentos,alejandro sanz,"lulo perez and alejandro sanz, producers; carlos alvarez, lulo perez, thom russo, alejandro sanz, rafa sardina and pepo sherman, engineers",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/alejandro%2bsanz/alejandro%2520sanz_1_1_1581342907.jpg?itok=0yvry2gd
38,47th Annual GRAMMY Awards  (2004),best rock album,american idiot,green day,"rob cavallo and green day, producers; chris lord-alge and doug mckean, engineers/mixers",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/green%2bday/green%2520day_1_1_1578385279.jpg?itok=wr16ylos
39,60th Annual GRAMMY Awards  (2017),best music video,humble.,kendrick lamar,"dave meyers and the little homies, video directors; jason baum, dave free, jamie rabineau, nathan k. scherrer and anthony tiffith, video producers",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/kendrick%2blamar/kendrick%2520lamar_1_1_1596249253.jpg?itok=ynvrdp1y
40,26th Annual GRAMMY Awards  (1983),album of the year,thriller,michael jackson,"michael jackson and quincy jones, producers",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/michael%2bjackson/michael%2520jackson_1_1_1584089273.jpg?itok=8n4ineev
41,45th Annual GRAMMY Awards  (2002),best short form music video,without me,eminem,"joseph kahn, video director; greg tharp, video producer",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/eminem/eminem_1_1_1591112923.jpg?itok=l57yxwwn
42,62nd Annual GRAMMY Awards  (2019),best music video,we've got to try,the chemical brothers,"ninian doff, video director; ellie fry, video producer",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/the%2bchemical%2bbrothers/the%2520chemical%2520brothers_1_1_1578387427.jpg?itok=d4bo6tpl
